name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
HDS_USECOL:P-E3-S6_1_TIME:24969601.0,681.612,0.515348,680.062,683.118,682.127,681.097,754.016,41.3864,684.52,897.14,795.402,712.629,1.40191
HDS_USECOL:P-E3-S6_1_TIME:25056001.0,681.527,0.553867,680.135,682.907,682.081,680.973,754.014,41.3849,684.52,897.13,795.399,712.629,1.6134
HDS_USECOL:P-E3-S6_1_TIME:25142401.0,681.636,0.482614,680.443,682.794,682.119,681.154,754.011,41.384,684.52,897.12,795.395,712.627,1.72601
HDS_USECOL:P-E3-S6_1_TIME:25228801.0,681.654,0.407593,680.426,682.532,682.062,681.247,754.009,41.3826,684.52,897.11,795.391,712.626,1.988
HDS_USECOL:P-E3-S6_1_TIME:25315201.0,681.553,0.490875,680.517,682.833,682.044,681.062,754.006,41.3822,684.52,897.11,795.389,712.624,1.68655
HDS_USECOL:P-E3-S6_1_TIME:25401601.0,681.614,0.465276,680.295,682.632,682.079,681.149,754.004,41.3808,684.52,897.1,795.385,712.623,1.88803
HDS_USECOL:P-E3-S6_1_TIME:25488001.0,681.581,0.452301,680.476,682.872,682.033,681.129,754.002,41.3797,684.52,897.09,795.382,712.623,1.64755
HDS_USECOL:P-E3-S6_1_TIME:25574401.0,681.531,0.49158,680.323,682.957,682.022,681.039,754,41.3775,684.51,897.08,795.377,712.622,1.55349
HDS_USECOL:P-E3-S6_1_TIME:25660801.0,681.613,0.527796,680.179,683.53,682.14,681.085,753.997,41.3767,684.51,897.07,795.374,712.62,0.980242
HDS_USECOL:P-E3-S6_1_TIME:25747201.0,681.545,0.553158,679.81,682.813,682.098,680.992,753.995,41.3757,684.51,897.07,795.371,712.62,1.69736
HDS_USECOL:P-E3-S6_1_TIME:25833601.0,681.621,0.483087,680.537,682.622,682.104,681.137,753.993,41.3744,684.51,897.06,795.368,712.619,1.88819
HDS_USECOL:P-E3-S6_1_TIME:25920001.0,681.554,0.491086,680.38,682.773,682.045,681.063,753.991,41.3732,684.51,897.05,795.364,712.618,1.73708
HDS_USECOL:P-E3-S6_1_TIME:26006401.0,681.639,0.511651,680.259,683.408,682.15,681.127,753.988,41.3714,684.51,897.04,795.36,712.617,1.10235
HDS_USECOL:P-E3-S6_1_TIME:26092801.0,681.569,0.474909,680.339,682.742,682.044,681.094,753.986,41.3701,684.51,897.03,795.356,712.616,1.76792
HDS_USECOL:P-E3-S6_1_TIME:26179201.0,681.468,0.468699,680.189,682.817,681.937,680.999,753.983,41.369,684.51,897.02,795.352,712.614,1.69281
HDS_USECOL:P-E3-S6_1_TIME:26265601.0,681.543,0.420194,680.425,682.395,681.963,681.123,753.981,41.3679,684.51,897.02,795.349,712.613,2.11514
HDS_USECOL:P-E3-S6_1_TIME:26352001.0,681.674,0.403658,680.536,682.586,682.078,681.27,753.979,41.3658,684.51,897.01,795.344,712.613,1.9242
HDS_USECOL:P-E3-S6_1_TIME:26438401.0,681.681,0.481844,680.756,682.955,682.163,681.199,753.977,41.365,684.51,897,795.342,712.612,1.5552
HDS_USECOL:P-E3-S6_1_TIME:26524801.0,681.713,0.433918,680.667,682.833,682.147,681.279,753.974,41.3635,684.51,896.99,795.337,712.61,1.6768
HDS_USECOL:P-E3-S6_1_TIME:26611201.0,681.655,0.5034,680.35,683.509,682.158,681.151,753.972,41.362,684.51,896.98,795.334,712.61,1.00126
HDS_USECOL:P-E3-S6_1_TIME:26697601.0,681.734,0.51608,680.621,682.972,682.25,681.218,753.969,41.3607,684.51,896.97,795.33,712.609,1.53786
HDS_USECOL:P-E3-S6_1_TIME:26784001.0,681.691,0.444546,680.426,682.93,682.136,681.247,753.967,41.36,684.51,896.97,795.327,712.607,1.57951
HDS_USECOL:P-E3-S6_1_TIME:26870401.0,681.675,0.465469,680.87,683.005,682.141,681.21,753.965,41.3585,684.51,896.96,795.323,712.607,1.50482
HDS_USECOL:P-E3-S6_1_TIME:26956801.0,681.645,0.47346,680.456,682.612,682.119,681.172,753.963,41.3572,684.5,896.95,795.32,712.605,1.8885
HDS_USECOL:P-E3-S6_1_TIME:27043201.0,681.648,0.44982,680.774,682.827,682.097,681.198,753.96,41.3554,684.5,896.94,795.316,712.605,1.67302
HDS_USECOL:P-E3-S6_1_TIME:27129601.0,681.72,0.508899,680.667,682.74,682.229,681.211,753.958,41.3547,684.5,896.93,795.313,712.604,1.75996
HDS_USECOL:P-E3-S6_1_TIME:27216001.0,681.615,0.523042,680.004,682.916,682.138,681.092,753.955,41.3531,684.5,896.92,795.308,712.602,1.58387
HDS_USECOL:P-E3-S6_1_TIME:27302401.0,681.705,0.479661,680.58,682.931,682.184,681.225,753.953,41.3518,684.5,896.92,795.305,712.601,1.56868
HDS_USECOL:P-E3-S6_1_TIME:27388801.0,681.693,0.457013,680.692,682.711,682.15,681.236,753.95,41.3501,684.5,896.91,795.3,712.6,1.78893
HDS_USECOL:P-E3-S6_1_TIME:27475201.0,681.666,0.513796,680.363,682.937,682.18,681.152,753.948,41.3488,684.5,896.9,795.297,712.599,1.56257
HDS_USECOL:P-E3-S6_1_TIME:27561601.0,681.622,0.46754,680.561,682.714,682.089,681.154,753.945,41.3475,684.5,896.89,795.293,712.598,1.78613
HDS_USECOL:P-E3-S6_1_TIME:27648001.0,681.729,0.465094,680.69,682.957,682.194,681.264,753.943,41.3463,684.5,896.88,795.289,712.597,1.54348
HDS_USECOL:P-E3-S6_1_TIME:27734401.0,681.634,0.53884,680.147,683.046,682.173,681.096,753.941,41.3448,684.5,896.87,795.286,712.596,1.45351
HDS_USECOL:P-E3-S6_1_TIME:27820801.0,681.648,0.493893,680.061,682.888,682.142,681.154,753.938,41.343,684.5,896.86,795.281,712.595,1.61207
HDS_USECOL:P-E3-S6_1_TIME:27907201.0,681.651,0.536672,680.224,683.429,682.188,681.115,753.936,41.342,684.5,896.85,795.278,712.594,1.07102
HDS_USECOL:P-E3-S6_1_TIME:27993601.0,681.614,0.507575,680.304,682.77,682.122,681.107,753.933,41.3411,684.5,896.85,795.275,712.592,1.73007
HDS_USECOL:P-E3-S6_1_TIME:28080001.0,681.656,0.509795,680.352,682.79,682.166,681.147,753.931,41.3398,684.5,896.84,795.271,712.591,1.7099
HDS_USECOL:P-E3-S6_1_TIME:28166401.0,681.54,0.464865,680.579,682.857,682.005,681.076,753.929,41.3382,684.5,896.83,795.267,712.59,1.64257
HDS_USECOL:P-E3-S6_1_TIME:28252801.0,681.49,0.567131,680.026,682.56,682.057,680.923,753.926,41.3368,684.5,896.82,795.263,712.589,1.93954
HDS_USECOL:P-E3-S6_1_TIME:28339201.0,681.552,0.509314,680.609,682.827,682.061,681.042,753.924,41.3356,684.49,896.81,795.259,712.588,1.66255
HDS_USECOL:P-E3-S6_1_TIME:28425601.0,681.582,0.513277,680.302,682.944,682.096,681.069,753.921,41.3339,684.49,896.8,795.255,712.587,1.54601
HDS_USECOL:P-E3-S6_1_TIME:28512001.0,681.662,0.56292,680.365,682.812,682.225,681.099,753.919,41.3326,684.49,896.79,795.251,712.586,1.67832
HDS_USECOL:P-E3-S6_1_TIME:28598401.0,681.687,0.524428,679.995,682.832,682.211,681.162,753.916,41.3313,684.49,896.79,795.247,712.585,1.65782
HDS_USECOL:P-E3-S6_1_TIME:28684801.0,681.771,0.510248,680.503,682.945,682.281,681.261,753.914,41.3298,684.49,896.78,795.244,712.585,1.54462
HDS_USECOL:P-E3-S6_1_TIME:28771201.0,681.809,0.443538,680.643,682.848,682.253,681.366,753.911,41.3285,684.49,896.77,795.24,712.583,1.64167
HDS_USECOL:P-E3-S6_1_TIME:28857601.0,681.867,0.499718,680.651,683.006,682.366,681.367,753.909,41.3273,684.49,896.76,795.236,712.581,1.4838
HDS_USECOL:P-E3-S6_1_TIME:28944001.0,681.846,0.511226,680.695,683.089,682.357,681.335,753.907,41.3253,684.49,896.75,795.232,712.582,1.40072
