name,value,group,weight
flow_gal_usecol:gal-flow_time:114998401.0,-0.012577,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:115084801.0,-0.012106,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:115171201.0,-0.011656,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:115257601.0,-0.017664,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:115344001.0,-0.016835,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:115430401.0,-0.016346,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:115516801.0,-0.015869,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:115603201.0,-0.01541,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:115689601.0,-0.014969,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:115776001.0,-0.014543,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:11577601.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:115862401.0,-0.014134,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:115948801.0,-0.013739,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:116035201.0,-0.013359,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:116121601.0,-0.012993,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:116208001.0,-0.012641,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:116294401.0,-0.012301,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:116380801.0,-0.011973,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:116467201.0,-0.011658,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:116553601.0,-0.011353,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:116640001.0,-0.01106,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:11664001.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:116726401.0,-0.010777,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:116812801.0,-0.010505,flow_gal_usecol:gal-flow,0
